PurchaseID,PurchaseTimestamp,PurchaseDate,Auction,VehYear,Make,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,MMRCurrentRetailRatio,PRIMEUNIT,AUCGUART,VNST,VehBCost,IsOnlineSale,WarrantyCost,ForSale,IsBadBuy
0,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,RED,AUTO,2,Covers,51099,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,920,Yes,0
1,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,RED,AUTO,2,Covers,48542,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,8568,9325,9753,10571,0.922618485,?,?,NC,7800,0,834,Yes,0
2,1253232000,18/09/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,46318,AMERICAN,MEDIUM,CHRYSLER,8835,9428,10042,10682,8137,8733,9288,9932,0.935159082,?,?,NC,7800,0,834,Yes,0
3,1253232000,18/09/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,2,Covers,50413,AMERICAN,COMPACT,GM,7165,7770,8238,8892,7074,7629,8140,8739,0.931456688,?,?,NC,6000,0,671,Yes,0
4,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,50199,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7857,8711,8986,9908,0.906943884,?,?,NC,7800,0,920,Yes,0
5,1253232000,18/09/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,480444,AMERICAN,MEDIUM,CHRYSLER,8835,9428,10042,10682,8009,8530,9150,9712,0.942133443,?,?,NC,7800,0,834,Yes,0
6,1253232000,18/09/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,48433,AMERICAN,MEDIUM,CHRYSLER,8835,9428,10042,10682,8009,8530,9150,9712,0.942133443,?,?,NC,7800,0,834,Yes,0
7,1253232000,18/09/2009 10:00,OTHER,2008,PONTIAC,WHITE,AUTO,2,Covers,51062,AMERICAN,COMPACT,GM,8967,9916,10184,11209,7783,8414,11938,13074,0.913109989,?,?,NC,7500,0,671,Yes,0
8,1253232000,18/09/2009 10:00,OTHER,2008,PONTIAC,BLUE,AUTO,2,Covers,59825,AMERICAN,LARGE,GM,9793,10769,11076,12131,9255,10557,12857,14135,0.909586134,?,?,NC,7800,0,1500,Yes,0
9,1253232000,18/09/2009 10:00,OTHER,2008,CHRYSLER,BEIGE,AUTO,2,Covers,49558,AMERICAN,MEDIUM,CHRYSLER,8835,9428,10042,10682,8009,8530,9150,9712,0.942133443,?,?,NC,7800,0,834,Yes,0
